EmpID,LastName,FirstName,TeamCode,PosCode,PlayerNo,Age,Weight,Height,YearsOfExp,College
46908,Williams,K'Waun,DVB,CB,8,32,185,69,9,Pittsburgh
59554,Winstead,Isaiah,SFN,WR,2,24,213,76,0,East Carolina
78735,Henry,Ra'Shaun,STS,WR,18,25,190,75,1,Virginia
60610,Jones Jr.,Mike,ATF,LB,45,24,230,73,0,LSU
47788,Rice,Rashee,KCC,WR,4,23,204,73,0,SMU
29449,Williams,Nick,LAC,DT,95,33,310,76,9,Samford
69819,Wells,Josh,JKJ,OT,77,32,310,78,9,James Madison
46222,Skule,Justin,TBB,OT,77,26,315,78,4,Vanderbilt
66550,Farmer,Andrew,LAC,LB,92,23,250,76,0,Lane College
57093,Thompson,Bryan,BFB,WR,89,24,200,75,0,Arizona State
29319,Schultz,Dalton,HST,TE,83,27,244,77,6,Stanford
18414,Johnson,Durrell,DLC,DE,51,25,240,75,0,Liberty
32485,Murray Jr.,Kenneth,LAC,LB,9,24,241,74,4,Oklahoma
52624,Camarda,Jake,TBB,P,5,24,193,73,2,Georgia
72399,Hagans,Darius,PTS,RB,25,24,210,72,0,Virginia State
95477,Brown,Shakel,TNT,DT,91,24,295,75,0,Troy
26920,Jackson,Eddie,CHB,S,4,29,206,72,7,Alabama
69452,Glaser,Chris,NYJ,G,64,23,306,76,1,Virginia
48115,Merriweather,Kaevon,TBB,S,26,23,207,72,0,Iowa
86724,Lowe,Vederian,MNV,OT,79,24,320,78,2,Illinois
66391,McCollum,Zyon,TBB,CB,27,24,199,74,2,Sam Houston State
55762,Quitoriano,Teagan,HST,TE,84,23,258,78,2,Oregon State
98433,Thompson,Trenton,PTS,S,17,25,196,73,1,San Diego State
71382,O'Connell,Patrick,STS,LB,57,24,227,73,0,Montana
13291,Brooks,Chris,MMD,RB,33,23,219,73,0,BYU
85181,Fleming,Cam,DVB,OT,73,29,320,77,10,Stanford
49461,Taylor-Stuart,Isaac,INC,CB,37,23,200,74,2,USC
78105,Ross,D'Angelo,HST,CB,37,29,190,69,2,New Mexico
21863,Allen,Zach,DVB,DE,99,26,285,77,5,Boston College
59146,Okuayinonu,Sam,TNT,DT,59,25,269,73,2,Maryland
98228,Thielen,Adam,CAP,WR,19,33,195,74,10,Minnesota State Moorhead
30247,Anderson,Spencer,PTS,G,74,23,305,77,0,Maryland
61531,Onwuzurike,Levi,DTL,DE,91,25,290,75,3,Washington
65151,Sutton,Courtland,DVB,WR,14,27,216,76,6,SMU
86311,Harvin III,Pressley,PTS,P,6,24,255,72,3,Georgia Tech
93834,Hill,BJ,CNB,DT,92,28,311,75,6,NC State
42163,Hodges,Cooper,JKJ,OT,75,23,311,75,0,Appalachian State
99226,Cleveland,Ezra,MNV,G,72,25,312,78,4,Boise State
97678,Triner,Zach,TBB,LS,97,32,245,75,5,Assumption
23152,Hinton,Kendall,DVB,WR,9,26,195,72,3,Wake Forest
59959,Takitaki,Sione,CLB,LB,44,28,238,73,5,BYU
69542,Mauga,Kana'i,LVR,LB,43,23,245,74,1,USC
63960,Patterson,Riley,DTL,K,36,23,195,72,3,Memphis
74319,Deatherage,Dylan,HST,OT,72,24,302,76,0,Western Michigan
24758,Swain,Freddie,PHE,WR,38,25,199,72,4,Florida
67766,Hennessy,Thomas,NYJ,LS,42,29,246,74,7,Duke
45078,Wilson,Joel,BFB,TE,48,23,250,76,0,Central Michigan
71642,Firkser,Anthony,NEP,TE,86,28,245,74,6,Harvard
22005,Mapu,Marte,NEP,LB,30,23,230,75,0,Sacramento State
89181,Gardner,Ferrod,WSC,S,50,26,215,73,0,Louisiana
58292,David,Lavonte,TBB,LB,54,33,233,73,12,Nebraska
82099,Snead IV,Willie,SFN,WR,83,30,195,71,8,Ball State
88040,Abanikanda,Israel,NYJ,RB,25,20,215,71,0,Pittsburgh
32347,Perryman,Denzel,HST,LB,6,30,240,71,9,Miami
82369,Smith,Jonnu,ATF,TE,81,28,248,75,7,Florida International
75099,Roche,Quincy,PTS,LB,48,25,245,75,2,Miami
57371,Stallworth,Taylor,CAP,DT,78,28,305,74,5,South Carolina
13640,Dawkins,Dion,BFB,OT,73,29,320,77,7,Temple
14462,Marsh,Armani,TNT,CB,25,24,182,69,0,Washington State
71196,Adams,Jamal,STS,S,33,27,213,73,6,LSU
63895,Deguara,Josiah,GBP,TE,81,26,238,74,4,Cincinnati
61560,DePaola,Andrew,MNV,LS,42,36,229,73,9,Rutgers
85144,McGhin,Garrett,BFB,G,68,27,316,78,2,East Carolina
35244,Mullen,Tiawan,LAC,CB,42,23,181,68,0,Indiana
77405,Book,Ian,PHE,QB,19,25,206,72,3,Notre Dame
51073,Bradford,Anthony,STS,G,70,22,332,77,0,LSU
26321,Smith,Terell,CHB,CB,32,24,215,73,0,Minnesota
92545,Smith,Vyncint,INC,WR,15,27,195,75,4,Limestone
16457,McGough,Alex,GBP,QB,17,27,214,75,1,Florida International
15787,Sapp III,Benny,GBP,S,48,23,200,71,0,Northern Iowa
65464,Duncan,Collin,CAP,S,39,22,210,72,0,Mississippi State
23768,Cosmi,Sam,WSC,OT,76,24,309,78,3,Texas
69392,Johnson,Lane,PHE,OT,65,33,325,78,11,Oklahoma
60140,Rodriguez,Malcolm,DTL,LB,44,24,234,71,2,Oklahoma State
14607,Heck,Charlie,HST,OT,67,26,311,80,4,North Carolina
80980,Siposs,Arryn,PHE,P,10,30,212,74,3,Auburn
32819,Winfield Jr.,Antoine,TBB,S,31,25,203,69,4,Minnesota
10154,Stroud,C.J.,HST,QB,7,21,218,75,0,Ohio State
20135,Jones Jr.,Marvin,DTL,WR,0,33,199,74,12,California
78070,Smith,Keidron,MMD,S,36,23,201,74,0,Kentucky
64266,McFadden,Micah,NYG,LB,41,23,232,74,2,Indiana
63647,Huntley,Tyler,BLR,QB,2,25,196,73,4,Utah
21718,Tuipulotu,Marlon,PHE,DT,95,24,307,74,3,USC
81332,Whitaker,Andrew,STS,CB,38,24,183,72,0,Washington University (St. Louis)
18349,Hearn,Azizi,LVR,CB,48,24,204,73,0,UCLA
23963,Robinson,Mark,PTS,LB,93,24,235,71,2,Ole Miss
93937,White,Keion,NEP,DE,99,24,290,77,0,Georgia Tech
11879,Fields II,Tony,CLB,LB,42,24,222,72,3,West Virginia
27626,Deckers,Evan,TBB,LS,86,24,252,75,0,Duke
79558,Edwards-Helaire,Clyde,KCC,RB,25,24,207,67,4,LSU
49494,Lewis,Terrell,CHB,DE,52,24,262,77,4,Alabama
81084,Moss,Zack,INC,RB,21,25,205,69,4,Utah
70196,Barnes,Zaire,NYJ,LB,53,23,232,73,0,Western Michigan
59380,Stroman Jr.,Greg,CHB,CB,27,27,180,71,4,Virginia Tech
96774,Pierce,Michael,BLR,DT,58,30,345,72,7,Samford
59720,Corbett,Austin,CAP,G,63,27,305,76,5,Nevada
89898,Ford-Wheaton,Bryce,NYG,WR,6,23,224,75,0,West Virginia
48499,Carney,Owen,CNB,DE,90,24,275,75,1,Illinois
81117,Al-Shaair,Azeez,TNT,LB,2,26,228,74,5,Florida Atlantic
28358,Duncan,Jaelyn,TNT,OT,79,23,306,78,0,Maryland
43150,Brown,Mike,TNT,S,44,24,222,73,1,Miami (OH)
55960,Coldon Jr.,C.J.,MNV,CB,35,24,180,73,0,Oklahoma
